Date,Description,Amount,Balance
2024-01-01,ACH - Maple Street Properties (Rent),-8500.00,76500.00
2024-01-03,ACH - Ferguson Supply,-33106.00,43394.00
2024-01-05,Deposit - ServiceTitan Payout,58080.00,101474.00
2024-01-05,ACH - Hartford Insurance,-2100.00,99374.00
2024-01-08,WEX Fleet Card Payment,-3200.00,96174.00
2024-01-10,ACH - BMW Financial Services Lease,-1200.00,94974.00
2024-01-11,ACH - Oakmont Country Club Dues,-850.00,94124.00
2024-01-12,Check Deposit - Commercial Clients,50820.00,144944.00
2024-01-13,Check 1040 - Reynolds LLP (Legal),-950.00,143994.00
2024-01-14,ACH - Google Ads,-1800.00,142194.00
2024-01-15,ACH - SaaS & Office Supplies,-1350.00,140844.00
2024-01-16,Loan Interest - First National Bank,-1150.00,139694.00
2024-01-17,Check 1060 - Johnstone Supply,-22070.00,117624.00
2024-01-20,ACH - Home Warranty Co,36300.00,153924.00
2024-01-24,Transfer to Payroll Account x9917,-61200.00,92724.00
2024-01-28,Distribution to Member - J Bluebird,-4000.00,88724.00
2024-02-01,ACH - Maple Street Properties (Rent),-8500.00,80224.00
2024-02-03,ACH - Ferguson Supply,-34838.00,45386.00
2024-02-05,Deposit - ServiceTitan Payout,61120.00,106506.00
2024-02-05,ACH - Hartford Insurance,-2100.00,104406.00
2024-02-08,WEX Fleet Card Payment,-3200.00,101206.00
2024-02-10,ACH - BMW Financial Services Lease,-1200.00,100006.00
2024-02-11,ACH - Oakmont Country Club Dues,-850.00,99156.00
2024-02-12,Check Deposit - Commercial Clients,53480.00,152636.00
2024-02-13,Check 1041 - Reynolds LLP (Legal),-950.00,151686.00
2024-02-14,ACH - Google Ads,-1800.00,149886.00
2024-02-15,ACH - SaaS & Office Supplies,-1350.00,148536.00
2024-02-16,Loan Interest - First National Bank,-1150.00,147386.00
2024-02-17,Check 1061 - Johnstone Supply,-23226.00,124160.00
2024-02-20,ACH - Home Warranty Co,38200.00,162360.00
2024-02-24,Transfer to Payroll Account x9917,-60800.00,101560.00
2024-02-28,Distribution to Member - J Bluebird,-4000.00,97560.00
2024-03-01,ACH - Maple Street Properties (Rent),-8500.00,89060.00
2024-03-03,ACH - Ferguson Supply,-38395.00,50665.00
2024-03-05,Deposit - ServiceTitan Payout,67360.00,118025.00
2024-03-05,ACH - Hartford Insurance,-2100.00,115925.00
2024-03-08,WEX Fleet Card Payment,-3200.00,112725.00
2024-03-10,ACH - BMW Financial Services Lease,-1200.00,111525.00
2024-03-11,ACH - Oakmont Country Club Dues,-850.00,110675.00
2024-03-12,Check Deposit - Commercial Clients,58940.00,169615.00
2024-03-13,Check 1042 - Reynolds LLP (Legal),-950.00,168665.00
2024-03-14,ACH - Google Ads,-1800.00,166865.00
2024-03-15,Wire In - J Bluebird,50000.00,216865.00
2024-03-15,ACH - SaaS & Office Supplies,-1350.00,215515.00
2024-03-16,Loan Interest - First National Bank,-1150.00,214365.00
2024-03-17,Check 1062 - Johnstone Supply,-25597.00,188768.00
2024-03-20,ACH - Home Warranty Co,42100.00,230868.00
2024-03-24,Transfer to Payroll Account x9917,-62600.00,168268.00
2024-03-28,Distribution to Member - J Bluebird,-4000.00,164268.00
2024-04-01,ACH - Maple Street Properties (Rent),-8500.00,155768.00
2024-04-03,ACH - Ferguson Supply,-40105.00,115663.00
2024-04-05,Deposit - ServiceTitan Payout,70360.00,186023.00
2024-04-05,ACH - Hartford Insurance,-2100.00,183923.00
2024-04-08,WEX Fleet Card Payment,-3200.00,180723.00
2024-04-10,ACH - BMW Financial Services Lease,-1200.00,179523.00
2024-04-11,ACH - Oakmont Country Club Dues,-850.00,178673.00
2024-04-12,Check Deposit - Commercial Clients,61565.00,240238.00
2024-04-13,Check 1043 - Reynolds LLP (Legal),-950.00,239288.00
2024-04-14,ACH - Google Ads,-1800.00,237488.00
2024-04-15,ACH - SaaS & Office Supplies,-1350.00,236138.00
2024-04-16,Loan Interest - First National Bank,-1150.00,234988.00
2024-04-17,Check 1063 - Johnstone Supply,-26737.00,208251.00
